Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
38,632.0,844.6666666666666,1212.0,2310.0,3456.0,1436.6666666666667,6757.333333333333,2296.6666666666665,3738.6666666666665,887.3333333333334,1834.0,52276.666666666664,1502.0,2668.6666666666665,990.6666666666666,1025.3333333333333,322.0,2076.6666666666665,474.0,1394.0,1236.6666666666667,2304.6666666666665,637.3333333333334,783.3333333333334,670.0,677.3333333333334,3286.0,1545.3333333333333,1203.3333333333333,967.3333333333334,1537.3333333333333,1569.3333333333333
39,670.6666666666666,864.6666666666666,1182.6666666666667,2386.0,3758.6666666666665,1572.0,6598.666666666667,2363.3333333333335,3951.3333333333335,927.3333333333334,1960.6666666666667,54227.333333333336,1500.6666666666667,2887.3333333333335,1058.6666666666667,1067.3333333333333,330.0,2153.3333333333335,483.3333333333333,1395.3333333333333,1328.0,2406.6666666666665,695.3333333333334,832.6666666666666,652.6666666666666,682.0,3478.0,1624.0,1218.6666666666667,1010.0,1538.6666666666667,1648.6666666666667
40,654.0,842.0,1270.6666666666667,2419.3333333333335,3868.0,1628.0,6513.333333333333,2430.6666666666665,4069.3333333333335,929.3333333333334,2063.3333333333335,55629.333333333336,1567.3333333333333,2910.6666666666665,1057.3333333333333,1040.6666666666667,344.0,2196.0,536.6666666666666,1526.0,1379.3333333333333,2476.0,663.3333333333334,931.3333333333334,696.6666666666666,686.0,3598.0,1682.0,1250.6666666666667,1002.6666666666666,1679.3333333333333,1717.3333333333333
41,682.6666666666666,888.0,1322.0,2374.0,3994.0,1658.0,6559.333333333333,2492.6666666666665,4162.0,919.3333333333334,2122.0,56731.333333333336,1595.3333333333333,2966.6666666666665,1113.3333333333333,1086.0,360.0,2230.0,518.0,1540.0,1379.3333333333333,2545.3333333333335,714.6666666666666,878.6666666666666,733.3333333333334,703.3333333333334,3601.3333333333335,1720.0,1332.6666666666667,1040.6666666666667,1742.0,1756.6666666666667
42,696.6666666666666,853.3333333333334,1352.6666666666667,2290.0,4077.3333333333335,1674.6666666666667,6216.666666666667,2460.0,4233.333333333333,943.3333333333334,2103.3333333333335,56654.0,1671.3333333333333,2940.0,1076.6666666666667,1090.0,358.6666666666667,2192.0,548.0,1548.0,1347.3333333333333,2599.3333333333335,650.6666666666666,888.6666666666666,719.3333333333334,726.0,3618.6666666666665,1720.6666666666667,1396.0,1026.0,1806.0,1829.3333333333333
43,633.3333333333334,828.6666666666666,1254.0,2191.3333333333335,3939.3333333333335,1618.0,5900.666666666667,2318.0,4008.6666666666665,844.0,2018.6666666666667,53788.666666666664,1591.3333333333333,2823.3333333333335,1074.6666666666667,973.3333333333334,350.6666666666667,2101.3333333333335,496.0,1397.3333333333333,1279.3333333333333,2515.3333333333335,656.6666666666666,824.0,671.3333333333334,692.6666666666666,3516.6666666666665,1656.6666666666667,1322.0,974.6666666666666,1630.0,1686.6666666666667
44,604.6666666666666,810.6666666666666,1247.3333333333333,2068.6666666666665,3778.0,1617.3333333333333,5580.0,2164.0,3788.6666666666665,808.6666666666666,2018.0,51546.0,1566.0,2658.6666666666665,1064.6666666666667,978.0,345.3333333333333,2036.0,449.3333333333333,1406.0,1274.0,2409.3333333333335,625.3333333333334,826.6666666666666,654.0,654.0,3082.0,1588.0,1293.3333333333333,929.3333333333334,1543.3333333333333,1676.6666666666667
45,630.0,750.0,1250.6666666666667,2052.0,3812.6666666666665,1618.6666666666667,5276.0,2034.6666666666667,3766.6666666666665,810.0,2025.3333333333333,50810.666666666664,1509.3333333333333,2644.0,1034.0,948.0,337.3333333333333,2039.3333333333333,504.0,1354.0,1251.3333333333333,2349.3333333333335,646.0,812.6666666666666,634.0,666.6666666666666,3002.6666666666665,1628.6666666666667,1279.3333333333333,918.0,1614.0,1611.3333333333333
46,632.6666666666666,768.0,1301.3333333333333,2023.3333333333333,3749.3333333333335,1618.6666666666667,5136.0,2101.3333333333335,3634.6666666666665,806.6666666666666,1972.0,50277.333333333336,1515.3333333333333,2630.6666666666665,1080.0,917.3333333333334,326.6666666666667,2015.3333333333333,444.6666666666667,1411.3333333333333,1300.0,2396.0,623.3333333333334,827.3333333333334,666.6666666666666,650.0,2964.0,1564.0,1199.3333333333333,870.0,1526.0,1605.3333333333333
47,580.6666666666666,772.0,1196.6666666666667,1979.3333333333333,3767.3333333333335,1548.0,4938.666666666667,2091.3333333333335,3656.0,760.6666666666666,1930.6666666666667,49682.666666666664,1530.6666666666667,2571.3333333333335,1026.6666666666667,892.6666666666666,328.6666666666667,1982.0,454.0,1354.0,1242.6666666666667,2376.0,628.0,816.0,687.3333333333334,682.0,2831.3333333333335,1666.6666666666667,1220.0,969.3333333333334,1563.3333333333333,1638.6666666666667
