"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","95"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","79"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","192"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","216"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","131"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","131"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","260"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","211"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","197"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","378"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","511"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","260"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","321"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","293"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","186"
